ssvid,shipname_norm,imo,callsign,vessel_class,flag,length_m,tonnage_gt,engine_power,hours,fishing_hours,hours_HS,fishing_hours_HS,gfw_owner,gfw_owner_address,gfw_owner_flag
576890000,JUIDER36,8977625,YJUB3,drifting_longlines,VUT,46.76,558,888.6,8079.1,4095.51,6147.64,4085.95,JUI FU FISHERIES,P.O.BOX 1640 PORT VILA. VANUATU (TEL.,VUT
416243500,DARLONGCHERNG378,9726657,BH3411,drifting_longlines,TWN,34.48,255,726.66,2056.16,1233.76,1741.41,1233.76,FU MAN FISHERIES,"1ST FLOOR, 88, FOXI STREET, QIANZHEN DISTRICT, KAOHSIUNG CITY, 80666, CHINA, REPUBLIC OF (TAIWAN)",TWN
440989000,ORYONG353,8703440,DTAN3,drifting_longlines,KOR,48.3,460.79,742.33,8681.19,5298.91,7699.08,5298.83,SAJO INDUSTRIES,"(MR.GAP-SOOK, LEE) #157, 2GA, CHOOGJEONG-RO, SEODAEMUN-GU, SEOUL, KOREA",KOR
224099450,SEGUNDORIBEL,8716394,EDQD,drifting_longlines,ESP,28.6,203.8,444.39,7198.75,3396.2,5612.22,3201.87,PESQUERA LOLO,"CALLE TRANSVERSAL SOLANAS, 7 LA GUARDIA CP 36780 PONTEVEDRA",ESP
224696000,COYO5,NA,ECAW,drifting_longlines,ESP,39.34,517,468.09,8736.24,2910.4,7540.56,2885.92,FRIGORIFICOS HERMANOS VIDAL,"C/ GENERAL FRANCO, 157 RIVEIRA15960 A CORUÑA",ESP
431351000,SHINKAIMARU73,8948959,JM6656,pole_and_line,JPN,34.28,157,602.09,5056.61,356.23,1354.43,266.56,NAKANO SUISAN,"NICHINAN-SHI, MIYAZAKI-KEN, JAPAN.",JPN
200016821,NA,NA,NA,tuna_purse_seines,CHN,54.55,1069.91,752.92,4242.69,1383.37,3215.66,1369.08,NA,NA,NA
416692000,KUANGMEI,NA,NA,drifting_longlines,TWN,47,661.6,865.74,6603.01,5150.39,6539.22,5150.39,NA,NA,NA
432927000,KAIYOMARU51,NA,7JNX,drifting_longlines,JPN,61.81,1297.58,1716.65,3984.55,1033.95,2650.88,1030.27,NA,NA,NA
441051000,SURESTE707,NA,DTAI8,trawlers,KOR,58.2,276,1911.5,5118.48,3278.36,4418.88,3201.71,DONG NAM,NA,NA
412440038,FUYUANYU7085,8685600,BZ4UT,drifting_longlines,CHN,39.66,282,762.85,4492.05,2523.62,4447.81,2523.62,FUJIAN LIANJIANG FARSEA,"BEIJIAOCUN, TAILUZHEN, LIANJIANG XIAN, FUJIAN, CHINA.",CHN
431700090,KOKEIMARU18,9073529,JREX,drifting_longlines,JPN,49.93,379,855.26,6463.46,3457.6,6127.41,3450.99,KOKEI,"NAGANOBIRU 3F, 19, OGAWA-CHO, YOKOSUKA-SHI, KANAGAWA-KEN, JAPAN.",JPN
416004591,CHIHONG899,8667311,BH3418,drifting_longlines,TWN,35.5,209,769.87,8735.74,5090.06,7342.79,5090.06,LIN T H,"63, LANE 1, FUXING ROAD, LIUQIU TOWNSHIP, PINGTUNG COUNTY, 92942, CHINA, REPUBLIC OF (TAIWAN)",TWN
224042130,PESCALEMA,NA,EB7664,drifting_longlines,ESP,18.29,59.49,88.24,4155.5,2109.2,342.94,183.98,ESPADA LB,"CAMINO GALERIA, 10 LAXE15117 A CORUÑA",ESP
413011000,JINGYUAN903,8676049,BZZT3,drifting_longlines,CHN,50.25,523,882,6471.09,2832.47,5273.39,2831.61,YANTAI BEIJING DEEP OCEAN,"159, NANGUAN LU, PENGLAI, SHANDONG, CHINA.",CHN
431682000,CHOKYUMARU11,9109330,JINE,drifting_longlines,JPN,52.61,469.81,740.5,7466.76,2715.11,4736.54,2079.27,CHOKYUMARU,"333-12, MIKIURA-CHO, OWASE-SHI, MIE-KEN, JAPAN",JPN
224098640,RAMONESTEFANIA,8688169,EA6859,drifting_longlines,ESP,22.65,122.68,269.85,6231.08,3287.65,2576.11,1977.22,RAMON ESTEFANIA,"SANTA ROSA, PTA. 1 B 1 TAPIA DE CASARIEGO33740 ASTURIAS",ESP
224459000,MARALSEGUNDO,8962515,EAXY,drifting_longlines,ESP,37.52,408,447.52,7227.08,2593.7,6753.29,2589.92,PESQUERA PRIOR,"OCTAVA TRANSVERSAL SOLANAS, 10 LA GUARDA36780PONTEVEDRA",USA
416005506,JIINTAHORNG101,NA,NA,squid_jigger,TWN,65.87,798.16,1554.07,4484.98,1218.39,4003.27,1215.63,NA,NA,NA
431702040,YAHATAMARU11,9057941,JE3113,drifting_longlines,JPN,31.5,197.89,592,6572.97,4601.62,5773.75,4312.49,YAHATA SUISAN,"156, SHIBITACHI, KARAKUWA-CHO, KESENNUMA-SHI, MIYAGI, JAPAN",JPN
416633000,HWASHAN222,NA,BI2495,drifting_longlines,TWN,55.9,526,818.59,8083.02,4915.32,5136.36,4092.35,LIN TIEN TSAI,NA,TWN
431795000,KIYOMARU28,9128697,JDPA,pole_and_line,JPN,65.46,499,1471,7710.6,3126.71,4486.02,2317.18,KANESHIMEICHI,"2-3-31,NISHIKI-CHO,KESENNUMA-SHI,MIYAGI,JAPAN;1-6-4,SAKANA-CHO,KESENNUMA-SHI,MIYAGI,JAPAN",JPN
263531000,SANTACRISTINA,6608309,CUFE,trawlers,PRT,80.3,1919,1853,8687.94,4406.96,6472.5,4373.38,EMPRESA DE PESCA DE AVEIRO,NA,PRT
440504000,SHINYUNG56,8619326,HLWA,drifting_longlines,KOR,53.3,384,743.25,8736.05,5027.82,8555.67,5027.82,SILLA,"362, BAEKJEGOBUN-RO, SONGPA-GU, SEOUL, KOREA",KOR
417001318,SITHUJAYA2,NA,NA,drifting_longlines,LKA,29.18,153.05,313.25,3788.01,1270.88,1016.57,341.73,NA,NA,NA
413205030,LONGXING635,8648145,BZTO4,drifting_longlines,CHN,50.53,572,879.28,7935.24,5877.02,7728.3,5876.71,DALIAN OCEAN FISHING,"3-5, HUALE JIE, ZHONGSHAN QU, DALIAN, LIAONING, CHINA.",CHN
412420228,HONGRUN1,8776007,BZ9UU,squid_jigger,CHN,49.43,457,735.76,8620.79,3090.92,8156.55,3090.92,ZHOUSHAN HONGRUN OCEAN,"SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
224069960,SIEMPREPERLA,9266736,EBZI,drifting_longlines,ESP,28,182,243.03,7731.73,4062.54,3635.29,2479.33,PERLA DEL MASMA,"LG. RIGUEIRA, S/N XOVE27879 LUGO",ESP
412331038,LUPENGYUANYU19,NA,BZSD4,squid_jigger,CHN,69.9,1408,1912,2360.91,32.16,489.77,31.81,ZHOUSHAN SHUNHANG OCEAN,"ROOM 2502, TECHNOLOGICAL REAL ESTATE BUILDING, 2121, DONGHAI XILU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, 316000, CHINA.",CHN
412201808,LONGXING621,8909769,BZZO2,drifting_longlines,CHN,48.88,577,875.97,6175.56,4149.68,6006.87,4149.68,DALIAN OCEAN FISHING,ZHONGSHAN DISTRICT,CHN
412695550,XINSHIJI70,NA,NA,drifting_longlines,CHN,52.38,634,830.07,8654.47,3882.18,8205.03,3868.7,ZHEJIANG OCEAN FAMILY,"27TH FLOOR KAIXUANMEN COMMERCIAL CENTER, NO. 11 QINGCHUN ROAD, HANGZHOU ZHEJIANG PROVINCE, CHINA",CHN
431769000,NIKKOMARU1,9128702,JEIK,pole_and_line,JPN,55.72,495,735,7952.46,2506.49,5262.76,2241.03,NIKKO SUISAN,"5590,OMAEZAKI, OMAEZAKI-SHI, SHIZUOKA, JAPAN",JPN
224015550,ECCEHOMODIVINO,8959350,EAHJ,drifting_longlines,ESP,37.5,411,369.8,3510.12,804.89,2445.81,802.25,PESQUERA ECCE HOMO,RUA GRANDE-CILLERO|VIVERO|27863|LUGO,ESP
316014090,BELLECARNELL,9307114,CFN7208,pots_and_traps,CAN,73,4312.5,2603.38,8736.05,5277.35,3504.41,3411.06,CS MANPAR,NA,CAN
168888802,AIB15607511,NA,NA,drifting_longlines,NA,28.27,148.45,680.13,647.34,173.83,647.34,173.83,NA,NA,NA
664001067,EMMANUEL3,NA,NA,drifting_longlines,SYC,24.17,77.46,326.87,5829.64,2065.37,918.87,341.13,NA,NA,NA
416002646,CHENGQINGFENG8,NA,BJ4867,drifting_longlines,TWN,27.2,79.69,447.6,8260.2,4564.35,4679.78,2464.68,HUANG S H,"82, JIAYU STREET, DONGGANG TOWNSHIP, PINGTUNG COUNTY, 92848, CHINA, REPUBLIC OF (TAIWAN)",TWN
412420456,H0NGDA1,8780022,BZ1VM,squid_jigger,CHN,58.81,1322,818.15,5037.75,567.88,4063.02,559.85,ZHEJIANG ZHOUPU OCEAN FISH,"DONGGANG JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
367789570,SAPPHIRE3,8847870,WDJ5613,drifting_longlines,USA,25.39,114.5,509.52,8735.93,4259.26,4590.1,3152.39,RS FISHERIES,"504, N NIMITZ HIGHWAY, HONOLULU HI 96817-5030, USA.",USA
224022810,BERRIZAMATXO,NA,EA5142,other_purse_seines,ESP,21,59,268.38,2086.28,715.78,132.85,72,PESQUERAS SANTAMARINA,"LA MORANA, S/N",ESP
416000631,MANIFENG2,NA,BJ4376,drifting_longlines,TWN,22.5,54.28,447.6,4589.24,2906.02,4244.39,2905.36,HUNG KUO LIANG,"NO.24, SINSHENG 1ST RD., DONGGANG TOWNSHIP, PINGTUNG COUNTY 92844, TAIWAN (R.O.C.)",TWN
659264000,SHEARWATERBAY,NA,NA,drifting_longlines,NAM,33.25,226.49,524.33,3778.84,2232.49,254.88,117.08,NA,NA,NA
520173000,RISING9,8748907,3DWH,NA,FJI,39.6,198,450,413.57,262.28,49.23,44.48,RISING FISHERIES,"P O BOX 16386, SUVA",FJI
367604540,RAISINGPHOENIX2,8963521,WDH3125,drifting_longlines,USA,23.37,157,390.54,8507.36,3577.76,3950.72,2489.61,DANG FISHERIES,"2215, AUPUNI STREET, HONOLULU HI 96817-1836, USA.",USA
368144000,KILAUEA,NA,WDF4959,drifting_longlines,USA,21.95,89,406.01,6332.2,2169.74,2660.2,1712.46,F V KILAUEA,"PO BOX 3345, HONOLULU, HI 96801-3345, USA",USA
431882000,FUKUKYUMARU32,8803989,JHWF,drifting_longlines,JPN,51.14,381.55,735.19,7417.21,3736.9,5144.01,2694.98,FUKUKYU,"8-19,SAKAEMACHI,2-HOME,YAIZU-SHI,SHIZUOKA",JPN
412421057,HUALI28,NA,BZW6G,squid_jigger,CHN,65.34,1245,1750,7271.23,1723.91,6338.74,1714.43,ZHOUSHAN NATIONAL PELAGIC BASE,"9TH FLOOR, MARINE FISHERY BUILDING, 9, DONGHAI XILU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
663142000,VEMA,5251408,6WLI,drifting_longlines,SEN,42.8,512,590.22,8414.02,2564.89,3937.2,1221.32,DAKAR FISHERIES,CITE MATFAORCE N° RDC1 OUEST FOIRE,SEN
412439588,OUYA9,NA,BZ9VS,squid_jigger,CHN,59.62,955,882,7833.11,1245.82,6533.16,1242.38,NINGBO EURASIAN OCEAN FISHERIES,"CHUANJI, HEPUZHEN, XIANGSHAN XIAN, ZHEJIANG, CHINA.",CHN
306034000,PACIFICSTAR,8716837,PJEW,tuna_purse_seines,CUW,107.67,4164,5111.89,4464.82,878.06,321.3,51.93,INTERTUNA,GREBBELINIE WEG 88 A,CUW
367088910,SENECA,7224021,WDC8537,drifting_longlines,USA,21.74,131,505.49,5585.39,683.87,712.67,516.12,SENECA FISHERIES,1335 OLD DIXIE HWY,USA
412420981,NINGTAI85,NA,BZV9W,squid_jigger,CHN,50.1,650,993,7870.82,3006.75,7489.27,3006.75,ZHOUSHAN NINGTAI OCEAN FISH,"ROOMS 1708 & 1709, CHANGZHENG PLAZA, 82, CHANGZHENG LU, DONGGANG JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
431500637,HASHIMURATERUMARU,NA,NA,drifting_longlines,JPN,27.23,164.57,599.29,5037.43,2597.61,3359.59,2440.01,NA,NA,NA
368492000,KATHERINE2,NA,WCX6053,drifting_longlines,USA,20.12,65,329.28,6934.69,4083.09,2846.22,2227.45,K A FISHING,"98-711 EWELANI STREET AIEA, HI 96701 UNITED STATES",USA
412421029,HANYI8003,NA,BZW5G,squid_jigger,CHN,40.15,347,617.69,4604.37,1318.48,4243.86,1318.48,ZHOUSHAN HANYI DEEP SEA,"ROOM 902, 185, CAISHI LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
224301000,IVANNORES,9242039,EBRR,trawlers,ESP,49.37,637.5,719.85,3450.53,1289.85,1935.38,1155.49,NORES CANARIAS PESQUERIAS,NA,ESP
557005500,SOUTHERNSEAS301,9764415,H4SR,tuna_purse_seines,SLB,70.8,1408,2647,5902.92,1128.11,462.27,100.72,SOUTHERN SEAS LOGISTICS,P.O BOX 2211 HONIARA SOLOMON ISLANDS,SLB
345140011,OAXACA,9698549,XCAL6,tuna_purse_seines,MEX,79.05,2028,3730,7747.49,1405.47,3264.81,742.85,MARATUN,"CALLE CENTRAL ORIENTE #5 PARQUE INDUSTRIAL FRANCISCO RAMÍREZ VILLAREAL 28219 MANZANILLO, COLIMA MÉXICO",MEX
367343000,CAPTGREG,NA,WTC4742,drifting_longlines,USA,20.24,93,376.24,4984.42,1997.75,1902.22,1537.65,AQUANUT COMPANY,"PO BOX 546, BARNEGAT LGT, NJ 08006-0546, USA",USA
431501762,RYOYUMARU1,NA,NA,drifting_longlines,JPN,27.15,174.19,550.32,6875.54,3066.84,4656.93,2719.57,NA,NA,NA
338712000,CAPEFERRAT,7803267,WDE2398,tuna_purse_seines,USA,74.31,2019,2899.65,4168.58,594.13,2056.91,489.52,CAPE FERRAT FISHING LP,"10500 NE 8TH ST STE 1888, BELLEVUE, WA 98004-8631, USA",USA
412331072,LURONGYUANYU808,NA,BZSV8,squid_jigger,CHN,67.68,1497,2100,8608.93,3360.88,8438.99,3345.59,RONGCHENG CHISHAN OCEAN FISH,"66, HUANGHAI ZHONGLU, SHIDAOZHEN, RONGCHENG, SHANGDONG, 264309, CHINA.",CHN
412004811,ZHENFENG18,NA,NA,drifting_longlines,CHN,26.29,99.67,591.11,5272.78,3813.99,4745.67,3792.27,NA,NA,NA
267300014,CT4267314,NA,NA,drifting_longlines,SVK,27.6,104.76,437.87,3771.26,2623.55,3018.58,2574.64,NA,NA,NA
263414640,DARIOFILIPE,8683066,CUHY7,drifting_longlines,PRT,24,181.69,367.74,5455.78,2976.93,2262.13,1718.02,IRMAOS MIGUEL SOCIEDADE DE PESCA,"AV. DA LIBERDADE, 78",PRT
224430000,EIRADODOCOSTAL,9265328,EBVD,trawlers,ESP,56,1167,1210,8227.96,4531.03,6483.02,4498.77,MORADINA,NA,ESP
412420975,MINGXIANG857,NA,BZV8U,squid_jigger,CHN,51.43,709,1000,8529.24,2903.28,8261.51,2903.28,ZHOUSHAN MINGXIANG MARINE FISH,"4TH FLOOR, 37, PANYANG SHANLU, DINGHAI QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
933621007,933621007,NA,NA,drifting_longlines,NA,29.22,247.25,469.4,1259.97,539.34,1202.47,539.34,NA,NA,NA
412420002,TIANXIANG,8786038,BZVT,squid_jigger,CHN,57.28,971,1496.87,1957.35,360.63,1529.69,346.82,ZHOUSHAN NATIONAL PELAGIC BASE,"9TH FLOOR, MARINE FISHERY BUILDING, 9, DONGHAI XILU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
664633000,CHUNI628,8947228,S7PW,drifting_longlines,SYC,53.15,470,1341.42,1964.74,1329.35,587.77,398.78,YOW GOANG FISHERIES,"C/O A. C. T. OFFSHORE LIMITED, 1ST FLOOR OLIAJI TRADE CENTRE, FRANCIS RACHEL STREET, P. O. BOX 1377, VICTORIA, MAHÉ, REPUBLIC OF SEYCHELLES",SYC
367719840,SEAANGEL,NA,WDI6551,drifting_longlines,USA,22.23,160.13,365.84,6933.68,1515.56,925.01,618.5,NA,NA,NA
412329403,LURONGYUANYU599,9708667,BBZS2,drifting_longlines,CHN,41.3,357,738.42,2415.39,1348.77,1121.38,456.72,RONGCHENG YONGJIN AQUATIC,"RONGCHENG, SHANGDONG, CHINA.",CHN
416220700,YUMANFONG,NA,NA,drifting_longlines,TWN,29.06,132.78,521.34,2002.98,580.68,874.68,511.84,ZHUANG C J,"45-1, XINGYU STREET, DONGGANG TOWNSHIP, PINGTUNG COUNTY, CHINA, REPUBLIC OF (TAIWAN)",TWN
577079000,OCEANVENTURE2,NA,YJRZ4,squid_jigger,VUT,76.07,998,2352.34,6661.14,1179.99,3004.66,437.04,LS OCEAN ENTERPRISE,"1ST FLOOR, IOLAM HOUSE, PO BOX 1019, LINI HIGHWAY, PORT VILA, VANUATU.",VUT
316011460,AUGUSTGALE,NA,NA,drifting_longlines,CAN,18.46,146.5,536,7350.2,837.66,611.42,508.02,NA,NA,NA
263404870,LAGOAL,NA,CUDX2,drifting_longlines,PRT,17.5,81.87,208.8,4659.82,2504.01,2160.95,1471.88,PESCARIAS EUREKA,"RUA JOÃO DE BRITO, 80 / 3º CASA",PRT
224267000,XIADASDOUS,9329203,ECFH,drifting_longlines,ESP,32.85,331,436.98,1426.87,5,247.59,2.24,XIADAS DA GUARDA,"ROSENTES, 12 - A GUARDA (PONTEVEDRA)",ESP
441057000,DAESUNG216,NA,DTAT4,drifting_longlines,KOR,49.97,429,997.48,8711.61,4266.48,8416.53,4266.48,DAE SUNG FISHERIES,"10F, DONG BANG BLDG, #25-4, 4-GA, CHUNGANG-DONG, CHUNG-GU, BUSAN, KOREA",KOR
412331026,LUQINGYUANYU17,8821199,BZYX8,drifting_longlines,CHN,49.3,577,991.46,7053.76,4693.46,6598.94,4691.97,QINGDAO FURUI FISHERIES,"2-1502,NO.19 FUZHOUNAN ROAD,QINGDAO,CHINA",CHN
412500245,GUIYUANYU60006,8656219,BZWZ36,drifting_longlines,CHN,35.12,228,375,8507.78,4978.58,1391.82,1021.98,BEIHAI GOFAR OCEAN FISHERIES,"3, BEIBUWAN ZHONGLU, HAICHENG QU, BEIHAI, GUANGXI, CHINA.",CHN
412329408,LUWEIYUANYU488,NA,BBZY4,drifting_longlines,CHN,32.31,454,603.86,5399.87,4126.88,2266.49,1935.56,NA,NA,NA
503770000,ISLAEDEN,9111694,VJN4147,drifting_longlines,AUS,49.9,1362,1200,2465.08,149.57,1291.23,124.14,AUSTRAL FISHERIES,CORRESPONDENCE,USA
440920000,ORYONG731,8920919,DTAD4,drifting_longlines,KOR,49.5,473.53,891.9,8395.29,7170.25,8233.52,7166.89,SAJO INDUSTRIES,"(MR.GAP-SOOK, LEE) #157, 2GA, CHOOGJEONG-RO, SEODAEMUN-GU, SEOUL, KOREA",KOR
224526000,FAKIR,9304851,EAHK,trawlers,ESP,53.85,942.1,808.09,5658.32,3717.12,2600.35,1659.62,FREIREMAR,NA,ESP
412420434,HAIXING716,8654182,BZ8VG,drifting_longlines,CHN,40.5,299,698,901.4,270,34.05,30.2,ZHOUSHAN HAIXING OCEAN,"4TH FLOOR, 88, RENMIN ZHONGLU, DINGHAI QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
416002304,SHINDERYIH186,NA,BJ4787,drifting_longlines,TWN,25,75,559.5,2611.05,831.4,1317.35,767.56,ZENG WANG QI,"NO.6, XINHUA LN., SU’AO TOWNSHIP, YILAN COUNTY 270, TAIWAN (R.O.C.)",TWN
416002575,RUEIPENGCHENG2,NA,NA,drifting_longlines,TWN,24.8,55.8,502.9,6066.3,4310.83,5586.89,4300.13,NA,NA,NA
413322680,LURONGYUANYU27,8628494,BBZN2,drifting_longlines,CHN,36.55,190,330,8167.83,4426.09,2989.72,2249.99,NA,NA,NA
412329435,LURONGYUANYU977,NA,NA,squid_jigger,CHN,52.71,498,1162.77,4186.55,1227.19,3830.26,1227.19,NA,NA,NA
200042407,P,NA,NA,drifting_longlines,NA,32.74,191.8,731.33,6403.69,4903.16,3884.78,3130.48,NA,NA,NA
416000831,SHINSHENGCHING66,NA,BK6774,drifting_longlines,TWN,22,49.63,427.46,5101.33,3859.48,4824.13,3843.46,HE MING CHUN,"11F., NO.500, HETI RD., SANMIN DIST., KAOHSIUNG CITY 80792, TAIWAN",TWN
431200060,EISEIMARU8,9087790,JEED,pole_and_line,JPN,58.6,499,1343.06,7419.35,2153.37,4508.45,1800.2,EISEI MARU,"559-1,HEDA,NUMAZU-SHI,SHIZUOKA,JAPAN",JPN
224313000,COSTAAZUL1,9297620,ECBU,drifting_longlines,ESP,44.45,612.5,645.79,8735.98,3548.4,8261.4,3546.88,JALDAMAR,"AGUSTIN FERNANDEZ OUJO, 15-4|RIBEIRA|15960|A CORUÑA",ESP
224752000,SIEMPREBELUSO,8733380,EBRM,drifting_longlines,ESP,38.5,371,454.76,8736.04,3771.88,7748.94,3751.3,BELUSO,"AVDA. DA MARIÑA, 43 SAN CIPRIAN - CERVO27890 LUGO",ESP
412209077,LONGXING612,NA,NA,drifting_longlines,CHN,52.63,619,950.76,8730.44,6774.95,8200.89,6771.68,NA,NA,NA
416004675,CHENYIFA11,NA,NA,drifting_longlines,TWN,26.33,97.49,861.03,7383,5092.93,6917.41,5092.93,CHEN YI LING,"20, LANE 61, MINGDAO ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, 80665, CHINA, REPUBLIC OF (TAIWAN)",TWN
412440151,FUYANU875,8685337,BZ4UX,squid_jigger,CHN,53.71,742,901.97,3722.74,257.38,3047.58,257.38,FUJIAN LIANJIANG FARSEA,"BEIJIAOCUN, TAILUZHEN, LIANJIANG XIAN, FUJIAN, CHINA.",CHN
441559000,HAEIN21,6803947,DTBV6,squid_jigger,KOR,57.59,928,1379.77,4807.06,1173.14,1871.17,508.38,HAE IN FISHERIES,"ROOM 607-1, SINDONG A BUILDING, 92, NAMPO-DONG 5-GA, JUNG-GU, BUSAN, 600-712, SOUTH KOREA.",KOR
258265000,NORDERVEG,8710778,LGWK,trawlers,NOR,74.6,2574,4413,8738.72,591.11,186.01,53.3,RYGGEFJORD,NA,NOR
417001577,SITHUJAYA4,NA,NA,squid_jigger,LKA,25.4,78.33,334.82,4716.07,1440.06,1761.62,254.16,NA,NA,NA
416002835,LONGDERSHING,NA,BK7911,drifting_longlines,TWN,19.98,49.26,406.57,2909.66,2075.94,2708.76,2075.94,WANG REN ZHI,"NO.4-17, CHUANTOU RD., DONGGANG TOWNSHIP, PINGTUNG COUNTY 92850, TAIWAN (R.O.C.)",TWN
412699080,JINHAI817,NA,BZ2UK,squid_jigger,CHN,69,1569.68,862.8,7894.59,1191.63,6751.98,1182.54,NA,NA,NA
416000293,MANFUTSAI1,8791887,BK7748,drifting_longlines,TWN,22,49,477,7093.9,6156.12,6556.3,6155.7,CHEN C H,"20, HEPING ROAD, LIUQIU TOWNSHIP, PINGTUNG COUNTY, 92942, CHINA, REPUBLIC OF (TAIWAN)",TWN
231400000,NORDINGUR,9281633,OW2050,trawlers,FRO,74.15,2017,7624.72,8666.61,2413.8,437.21,329.15,NAERABERG P F,NA,FRO
441298000,AGNES102,7355167,DTBR3,squid_jigger,KOR,51.45,499.19,1193.6,4671.44,1274.3,2016.61,595.06,AGNES FISHERIES,"ROOM 706, DORYEOM JEONGWOO BUILDING, 60, DORYEOM-DONG, JONGNO-GU, SEOUL, 110-716, SOUTH KOREA.",KOR
412420944,PINGTAIRONG86,NA,YYYY,drifting_longlines,CHN,42.83,389.14,790.05,7993.6,5021.59,7594.18,5021.59,PINGTAIRONG OCEAN FISHERIES,"SUITE 12A-01, 2121, DONGHAI XILU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
412463904,ZH0NGYANG22,9804368,BZW1B,drifting_longlines,CHN,44.19,471,716.16,3090.05,1906.55,3046.06,1906.55,SHENZHEN SHUIWAN PELAGIC FISHERIES,"ROOM 501, XINGJI BUILDING, XINSHA LU, SHAJINGZHEN, BAO'AN QU, SHENZHEN, GUANGDONG, CHINA.",CHN
416003158,KUNCHICHAI,NA,BK6542,drifting_longlines,TWN,21,41.76,462.52,4632.5,3284.9,3913.66,3272.77,TSAI KUO JEN,"NO.135-1, GUANGQIAN RD., LINBIAN TOWNSHIP, PINGTUNG COUNTY 92746, TAIWAN (R.O.C.)",TWN
412420436,HAIXING718,8654209,BZ1VH,drifting_longlines,CHN,40.5,299,698,8246.31,6271.89,999.03,695.12,ZHOUSHAN HAIXING OCEAN,"4TH FLOOR, 88, RENMIN ZHONGLU, DINGHAI QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
224015520,PEIXINOPRIMERO,NA,EA5101,set_gillnets,ESP,23.45,79.16,308.82,2970.8,1371.1,147.41,124.66,HERMANOS PINEIRO SANTOME,"CL. COIRADOS, 14",ESP
412354055,CHANGTAI801,NA,BZ7VY,squid_jigger,CHN,44.96,479,662,8390.6,3479.88,8100.81,3479.88,HAIMEN CHANGTAI PELAGIC,"39, RUIJIANG BEILU, HAIMEN, JIANGSU, CHINA.",CHN
